Event Name,Time,Distinct ID,City,Country,Operating System
favorite sandwich,1719463546.465,023fbd30-af1d-5398-8463-c2a9fb5a86ef,,,
set meal preference,1719463355.205,2965a67e-1d37-5551-ae92-8a3c18b9a7ed,Pune,IN,
adjust payment method,1719462989.975,c719e883-51ad-5581-828b-e6c45ebc4ae1,Sylacauga,US,
adjust payment method,1719462941.651,5fc4f36c-aac0-5c1f-874c-8527cd4acb20,Genoa,IT,
set meal preference,1719462362.854,63568869-1cad-5f50-9f91-cc403f0fa2ab,,US,
set meal preference,1719461728.186,b2121462-0a8d-5ded-abb8-5a40a9e3efa6,,US,
adjust payment method,1719460857.567,6039d38e-1bc1-59f8-9219-0e624d115c89,Montreal,CA,
set meal preference,1719460852.625,25bb0ded-c3f9-5537-8470-cb46ec196e33,Namakkal,IN,
adjust payment method,1719460186.379,9b759ed3-602d-56df-a332-03890d9d4048,Baoding,CN,
adjust payment method,1719459429.156,bbf2afb4-867d-5799-9b1c-383eda78d688,,IN,
favorite sandwich,1719458562.499,5d6a5e87-0cf4-5126-af6f-d44fc034ab1f,Szolnok,HU,
order sandwich,1719457645.345,4795c06b-20bd-5730-b1ff-783254e59a56,Smithtown,US,
set meal preference,1719457245.088,e710604c-75f2-58ee-99b7-797e0eb286ff,,US,
set meal preference,1719455537.571,b6bf8e59-095b-518a-8923-1ee79b1ea799,,CN,
set meal preference,1719455485.404,e9c0b9fa-b985-5a5c-89e0-3b2344d92dbc,Gumi,KR,
favorite sandwich,1719455411.633,94035b5f-d8cd-5445-b0bd-5478b82d88b2,,CH,
set meal preference,1719454585.427,00fc83c0-eed7-52cc-8024-8087fe749f3f,,US,
adjust payment method,1719454490.472,3ffaeb7e-0f5a-559c-ae28-3268294de742,,BR,
adjust payment method,1719454013.928,437dfc31-2fd4-5461-9768-24b01cc22dbf,Chicago,US,
adjust payment method,1719453606.036,ae882148-2d60-5304-be14-ac470b17912f,Urbana,US,
adjust payment method,1719453362.646,b34e7b90-7f2e-5098-93d3-2a837eb92e50,,US,
set meal preference,1719453280.177,1bc0f595-8014-5dae-bef0-ed264f8361c3,Yangsan,KR,
adjust payment method,1719452670.828,955f1055-650f-5ba4-8640-693b79a73c42,Los Cardales,AR,
order sandwich,1719451205.142,429e4e06-5b67-5ea9-89f8-83d7e82933d3,,US,
order sandwich,1719450341.729,a6a5bcb7-06a7-53c3-92ae-af9082d5e70a,,US,
adjust payment method,1719450232.039,f216dac5-824b-5536-8f71-a88dcd56e8ee,Jung-gu,KR,
set meal preference,1719450231.689,ed790437-cf07-5f7c-bfb7-8e1b0326d484,Mukachevo,UA,
order sandwich,1719449786.169,4e42c5c4-0c02-514c-a56f-34061a84d886,Milton,US,
set meal preference,1719449604.01,34d50d3e-588d-5f19-9e2c-c750d181ff63,Oslo,NO,
set meal preference,1719449555.578,ccc9d024-3241-5f57-bee3-62c99c5f0230,Kenitra,MA,
adjust payment method,1719449167.676,726860b9-0855-5696-ac85-96a81fef46a4,,US,
order sandwich,1719447861.776,a79d83e0-7f07-5a31-8ffd-090c627022a1,Harbin,CN,
order sandwich,1719447241.997,e8f5a61e-b368-5943-b02b-46657e96b180,Monticello,US,
